Qui etait Vercingetorix ?,Un chef Egyptien,Un chef Gaulois,Un chef Ougandais,Un chef Romain,Un chef Gaulois
D'ou vient le pouvoir de Louis XIV ? ,Du pape,De son pere,De la droite,De Dieu,De Dieu
Quels sont les 3 ordres qui constitue la societe sous Louis XIV ? ,Le tiers etat le clerge et la noblesse,liberte egalite fraternite,amitie respect obeissance,Le Bon la Brute et le Truand,Le tiers etat le clerge et la noblesse
Ou est ne Napoleon 1 er ?,A Paris,En Corse,A Marseille,En Chine,En Corse
Ou est decede Napoleon 1 er ?,En Russie,En Corse,Sur l’ile Sainte Helene,En Ouganda,Sur l’ile Sainte Helene
Qu’est ce qui sert de limite chronologique a la Prehistoire ?,La découverte des Ameriques,L’invention de l’ecriture,L’invention de l’agriculture,La naissance de Mickey,L’invention de l’ecriture
Qu'est ce que la monarchie absolue?,Le roi gouverne seul,Le roi gouverne avec le peuple,Le roi gouverne avec des ministres,Le fils du roi grouverne,Le roi gouverne seul
Quel chateau symbolise la grandeur de Louis XIV?,Saint Germain,Le Louvre,Versailles,Disney,Versailles
Quel nom donne-t-on a Louis XIV?,Le roi brillant,Le roi lune,Le roi Lion,Le roi soleil,Le roi soleil
Que signifie conversion?,changer de religion,Avoir deux religions,Etre sans religion,Une discution entre deux personnes,changer de religion
A quoi servent les cahiers de doleances?,a commander les fournitures pour l'armee,a ecrire les lois,a donner l'avis du peuple,a donner des devoirs,a donner l'avis du peuple
Quels sont les dates de la premiere guerre mondiale?,1914-1918,1789-1815,1939-1945,1666-1999,1914-1918
Que séparait le mur de Berlin?,le Danemark et la Pologne,La France et l'Allemagne,l'Allemagne de l'Ouest et l'Allemagne de l'Est,la cuisine de la salle a manger,l'Allemagne de l'Ouest et l'Allemagne de l'Est
Qui est Winston Churchill?,un homme politique francais,un homme politique britannique,un homme politique allemand,un homme politique chinois,un homme politque britannique
Qu'a ecrit Victor Hugo?,Les miserables,Les fables de la Fontaine,Le malade imaginaire,50 nuances de Grey,Les miserables
En quelle annee finit la seconde guerre mondiale?,En 1945,En 1940,En 1933,En 1999,En 1945
D'ou le general de Gaulle fait-il son appel?,de Paris,de Vichy,de Londres,de Ouganda,de Londres
Combien y'a t-il d'oceans sur Terre?,42,1789,5,23,5
En l'an 800 qui a ete couronne?,Clovis,Charlemagne,Hugues Capet,Vergincetorix,Charlemagne
Mozart etait de nationalite?,Francaise,Allemande,Chinoise,Autrichienne,Autrichienne

